Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,MONARUMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
CABO DELGADO,CHIURE,SEDE,MILAMBA,EP1 MIRALENE,0213001 .,681,181,16,233,21,451,52,8,511,170
CABO DELGADO,CHIURE,SEDE,MILAMBA,EP1 TITIMAR,0221501 .,800,130,33,226,16,405,44,23,472,328
CABO DELGADO,CHIURE,SEDE,MILAMBA,EP1 TITIMAR,0221502 .,690,78,15,134,12,239,28,16,283,407
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC COQUEIROS (NAMISSIR),0212801 .,800,140,13,285,35,473,45,16,534,266
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC COQUEIROS (NAMISSIR),0212802 .,800,75,13,290,35,413,29,9,451,349
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC COQUEIROS (NAMISSIR),0212803 .,291,35,4,97,4,140,16,2,158,133
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE CHIURE SEDE,0206101 .,800,255,21,248,1,525,21,13,559,241
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE CHIURE SEDE,0206102 .,800,201,13,247,8,469,24,7,500,300
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE CHIURE SEDE,0206103 .,800,243,7,229,2,481,10,14,505,295
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE CHIURE SEDE,0206104 .,732,225,5,209,4,443,8,5,456,276
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE LUSAKA ,0213201 .,800,204,57,160,10,431,45,9,485,315
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC DE LUSAKA ,0213202 .,461,84,11,80,2,177,9,4,190,271
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MICONI,0211801 .,800,124,13,281,10,428,63,9,500,300
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MICONI,0211802 .,800,106,8,231,8,353,49,20,422,378
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MICONI,0211803 .,643,72,10,200,5,287,24,6,317,326
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MILAMBA,0204901 .,800,174,11,241,11,437,52,10,499,301
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MILAMBA,0204902 .,800,117,12,223,15,367,36,18,421,379
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MILAMBA,0204903A .,400,36,9,101,10,156,23,5,184,216
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MILAMBA,0204903B .,485,59,7,100,8,174,19,7,200,285
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200601 .,800,245,10,199,4,458,24,7,489,311
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200602 .,800,188,14,181,6,389,31,12,432,368
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200603 .,800,162,25,190,9,386,30,11,427,373
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200604 .,800,172,16,172,1,361,23,6,390,410
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200605 .,800,169,25,176,2,372,15,14,401,399
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC MUAJAJA,0200606 .,513,111,17,87,4,219,9,5,233,280
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC NCUERETE,0218001 .,800,197,16,228,8,449,52,21,522,278
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC NCUERETE,0218002A .,400,90,5,114,4,213,16,12,241,159
CABO DELGADO,CHIURE,SEDE,MILAMBA,EPC NCUERETE,0218002B .,522,117,9,117,4,247,21,13,281,241
CABO DELGADO,CHIURE,SEDE,MILAMBA,MERIHA (ALPENDRE),0217101 .,800,177,13,301,10,501,26,10,537,263
CABO DELGADO,CHIURE,SEDE,MILAMBA,MERIHA (ALPENDRE),0217102 .,800,138,21,278,11,448,23,3,474,326
CABO DELGADO,CHIURE,SEDE,MILAMBA,MERIHA (ALPENDRE),0217103 .,800,116,12,274,4,406,15,11,432,368
CABO DELGADO,CHIURE,SEDE,MILAMBA,MERIHA (ALPENDRE),0217104 .,800,107,10,269,5,391,24,8,423,377
CABO DELGADO,CHIURE,SEDE,MILAMBA,MERIHA (ALPENDRE),0217105 .,202,32,2,66,1,101,2,0,103,99
CABO DELGADO,CHIURE,SEDE,MILAMBA,MUAJAJA B (ALPENDRE),0208202 .,800,151,17,209,4,381,24,10,415,385
CABO DELGADO,CHIURE,SEDE,MILAMBA,MUAJAJA B (ALPENDRE),0208203 .,528,129,6,102,5,242,14,8,264,264
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHAVARA (ALPENDRE),0216101 .,800,216,18,207,6,447,27,15,489,311
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHAVARA (ALPENDRE),0216102 .,800,200,7,208,11,426,20,10,456,344
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHAVARA (ALPENDRE),0216103A .,400,82,6,98,2,188,13,7,208,192
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHAVARA (ALPENDRE),0216103B .,552,131,10,113,3,257,5,6,268,284
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHELE (ALPENDRE),0222001 .,800,142,11,264,8,425,57,24,506,294
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAHELE (ALPENDRE),0222002 .,517,72,4,161,6,243,14,4,261,256
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAMIUTA (ALPENDRE),0202701 .,800,121,6,283,19,429,37,17,483,317
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAMIUTA (ALPENDRE),0202702 .,800,120,9,310,12,451,31,9,491,309
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAMIUTA (ALPENDRE),0202703 .,800,106,6,327,7,446,15,8,469,331
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAMIUTA (ALPENDRE),0202704A .,400,53,3,139,1,196,26,2,224,176
CABO DELGADO,CHIURE,SEDE,MILAMBA,NAMIUTA (ALPENDRE),0202704B .,413,55,3,147,3,208,4,5,217,196
