Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PJDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS 21 DE ABRIL,0807601 .,800,286,31,135,5,457,18,15,490,310
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS 21 DE ABRIL,0807602 .,800,298,33,96,1,428,14,22,464,336
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS 21 DE ABRIL,0807603 .,800,296,22,157,1,476,6,15,497,303
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS 21 DE ABRIL,0807604 .,393,135,16,75,1,227,2,6,235,158
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MATINGANE,0808001 .,800,347,32,92,8,479,26,19,524,276
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MATINGANE,0808002 .,800,276,27,101,7,411,9,13,433,367
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MATINGANE,0808003 .,610,230,9,112,1,352,6,3,361,249
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MUDAUCA*,0805001 .,800,245,17,165,10,437,12,21,470,330
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MUDAUCA*,0805002 .,800,222,26,135,5,388,11,19,418,382
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MUDAUCA*,0805003 .,800,196,23,163,2,384,5,17,406,394
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MUDAUCA*,0805004 .,800,151,30,177,3,361,0,6,367,433
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE MUDAUCA*,0805005 .,785,142,23,173,3,341,8,4,353,432
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE NGONGANE*,0808004A .,400,143,28,49,3,223,5,7,235,165
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,EP 1º-2º GRAUS DE NGONGANE*,0808004B .,421,152,35,55,2,244,8,7,259,162
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809001 .,800,204,49,144,13,410,9,14,433,367
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809002 .,800,184,39,150,19,392,15,14,421,379
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809003 .,800,191,36,166,13,406,10,18,434,366
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809004 .,800,218,38,163,3,422,4,17,443,357
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809005 .,800,212,30,158,7,407,2,7,416,384
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809006 .,800,167,22,164,3,356,3,3,362,438
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809007 .,800,155,29,163,11,358,6,7,371,429
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA PROFISS. DE MASSINGA,0809008 .,248,52,7,54,1,114,1,2,117,131
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804501 .,800,305,14,170,10,499,5,13,517,283
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804502 .,800,304,19,184,6,513,5,14,532,268
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804503 .,800,298,20,188,4,510,14,14,538,262
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804504 .,800,331,21,166,4,522,9,12,543,257
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804505 .,800,318,20,183,5,526,9,7,542,258
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804506 .,800,294,31,165,4,494,5,6,505,295
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804507 .,800,278,27,175,6,486,13,11,510,290
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804508A .,400,135,14,93,1,243,0,2,245,155
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,ESCOLA SEC. DE MASSINGA,0804508B .,491,148,15,117,2,282,5,7,294,197
INHAMBANE,MASSINGA,MUNICÍPIO,AUTARQUIA DA VILA DE MASSINGA,SALA ANEXA DE CAPE-CAPE,0807605 .,584,224,21,69,5,319,11,11,341,243
