"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC 3 DE FEVEREIRO MUEDIUA,0415801 .,800,244,18,239,501,31,14,546,254
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC 3 DE FEVEREIRO MUEDIUA,0415802 .,800,234,18,194,446,34,11,491,309
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC 3 DE FEVEREIRO MUEDIUA,0415803 .,800,206,21,196,423,18,19,460,340
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC 3 DE FEVEREIRO MUEDIUA,0415804 .,800,202,21,174,397,21,10,428,372
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC 3 DE FEVEREIRO MUEDIUA,0415805 .,681,198,11,122,331,14,9,354,327
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC CATANGALA,0415701 .,800,287,39,163,489,34,24,547,253
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC CATANGALA,0415702 .,800,232,25,177,434,25,10,469,331
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC CATANGALA,0415703 .,800,129,31,198,358,20,16,394,406
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC CATANGALA,0415704 .,494,82,16,118,216,21,3,240,254
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC LANDINHO,0415901 .,800,158,49,184,391,32,72,495,305
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC LANDINHO,0415902 .,800,128,30,200,358,24,10,392,408
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC LANDINHO,0415903 .,373,94,19,72,185,6,1,192,181
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC NAMURRUMO,0415601 .,800,324,18,187,529,39,22,590,210
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC NAMURRUMO,0415602 .,800,230,28,218,476,44,15,535,265
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC NAMURRUMO,0415603 .,800,196,25,262,483,23,5,511,289
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC NAMURRUMO,0415604 .,800,178,16,231,425,19,39,483,317
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,EPC NAMURRUMO,0415605 .,540,118,10,141,269,33,9,311,229
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415501 .,800,410,43,144,597,22,17,636,164
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415502 .,800,359,28,163,550,10,6,566,234
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415503 .,800,348,23,188,559,23,13,595,205
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415504 .,800,365,23,139,527,19,78,624,176
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415505 .,800,326,28,206,560,20,15,595,205
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415506 .,800,258,24,208,490,27,12,529,271
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415507 .,800,230,25,241,496,7,2,505,295
ZAMBEZIA,MAGANJA DA COSTA,MAGANJA SEDE,VILA DE MAGANJA DA COSTA,ESG MAGANJA DA COSTA,0415508 .,714,194,16,162,372,11,16,399,315
