Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,Bairro Ndambine (Salas Anexas de Chinjinguir),040319-01A .,400,50,17,142,209,3,6,218,182
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,Bairro Ndambine (Salas Anexas de Chinjinguir),040319-01B .,437,54,18,161,233,6,5,244,193
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º e 2º Graus 25 de Setembro de Pamuane,040316-01 .,800,68,66,236,370,8,15,393,407
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º e 2º Graus 25 de Setembro de Pamuane,040316-02 .,800,63,61,192,316,11,9,336,464
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º e 2º Graus 25 de Setembro de Pamuane,040316-03 .,409,32,28,86,146,2,8,156,253
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º-2º Graus de Chinjinguir,040314-01 .,800,57,30,410,497,20,12,529,271
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º-2º Graus de Chinjinguir,040314-02 .,800,71,49,283,403,11,14,428,372
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,EP 1º-2º Graus de Chinjinguir,040314-03 .,408,22,13,83,118,3,6,127,281
Inhambane,HOMOÍNE,HOMOINE SEDE,CHINJINGUIR,Povoado Cote (Salas Anexas da EP 1º-2º Graus de Mubalo),040317-01 .,656,25,28,405,458,13,6,477,179
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Bairro 7 de Abril,040306-01 .,771,78,96,237,411,11,15,437,334
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus Anexa ao CFP de Homoíne,040307-01 .,800,117,46,332,495,13,18,526,274
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus Anexa ao CFP de Homoíne,040307-02 .,800,98,59,387,544,13,15,572,228
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus Anexa ao CFP de Homoíne,040307-03 .,800,128,53,227,408,4,15,427,373
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus Anexa ao CFP de Homoíne,040307-04 .,427,56,25,91,172,3,2,177,250
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Anhane,040305-01A .,400,29,36,164,229,10,4,243,157
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Anhane,040305-01B .,504,36,30,163,229,4,14,247,257
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-01 .,800,91,77,351,519,18,11,548,252
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-02 .,800,121,66,316,503,8,20,531,269
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-03 .,800,131,87,283,501,6,21,528,272
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-04 .,800,126,107,227,460,4,11,475,325
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-05 .,800,120,99,215,434,4,6,444,356
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,EP 1º-2º Graus de Homoine-Sede,040300-06 .,596,79,67,142,288,5,5,298,298
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Manhica - 2,040303-01A .,400,13,39,148,200,4,4,208,192
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Manhica - 2,040303-01B .,674,38,41,192,271,13,13,297,377
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Povoado de Manhica A,040304-01 .,800,99,97,323,519,15,12,546,254
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Povoado de Manhica A,040304-02 .,800,130,74,244,448,5,17,470,330
Inhambane,HOMOÍNE,HOMOINE SEDE,MANHICA,Povoado de Manhica A,040304-03 .,764,121,59,163,343,6,11,360,404
